iter	Passed	Remaining
0	66	66849
1	75	37557
2	84	28202
3	91	22803
4	97	19381
5	107	17846
6	116	16522
7	125	15608
8	134	14843
9	143	14189
10	152	13683
11	160	13198
12	168	12829
13	179	12645
14	191	12604
15	200	12354
16	215	12446
17	226	12352
18	235	12165
19	249	12242
20	258	12062
21	266	11864
22	275	11703
23	285	11624
24	295	11528
25	320	11992
26	323	11665
27	333	11568
28	341	11450
29	351	11372
30	361	11284
31	370	11199
32	377	11059
33	391	11118
34	404	11152
35	411	11027
36	422	10984
37	429	10878
38	439	10840
39	447	10742
40	458	10722
41	468	10674
42	476	10615
43	487	10587
44	499	10599
45	509	10556
46	517	10483
47	526	10439
48	535	10401
49	546	10386
50	556	10351
51	566	10321
52	582	10406
53	592	10377
54	602	10346
55	609	10281
56	619	10253
57	627	10186
58	636	10148
59	647	10143
60	656	10113
61	665	10067
62	674	10033
63	684	10014
64	695	10000
65	704	9967
66	713	9939
67	716	9816
68	726	9795
69	734	9757
70	743	9723
71	746	9627
72	755	9590
73	763	9560
74	782	9650
75	796	9677
76	805	9659
77	815	9639
78	826	9639
79	835	9605
80	845	9590
81	855	9578
82	864	9554
83	874	9541
84	878	9458
85	887	9434
86	896	9405
87	905	9386
88	914	9364
89	923	9340
90	933	9328
91	944	9325
92	954	9305
93	962	9278
94	972	9267
95	981	9240
96	994	9261
97	1003	9237
98	1013	9222
99	1021	9194
100	1028	9158
101	1037	9130
102	1045	9105
103	1054	9083
104	1064	9074
105	1071	9037
106	1081	9024
107	1091	9018
108	1101	9006
109	1110	8988
110	1119	8967
111	1128	8948
112	1135	8915
113	1144	8898
114	1154	8882
115	1163	8865
116	1172	8845
117	1182	8836
118	1191	8818
119	1199	8799
120	1209	8786
121	1218	8771
122	1228	8757
123	1236	8735
124	1245	8717
125	1253	8697
126	1262	8677
127	1272	8665
128	1281	8649
129	1290	8636
130	1299	8623
131	1309	8610
132	1318	8596
133	1326	8575
134	1336	8562
135	1344	8542
136	1354	8535
137	1364	8521
138	1373	8509
139	1382	8491
140	1391	8475
141	1400	8460
142	1410	8450
143	1420	8445
144	1429	8427
145	1438	8413
146	1447	8399
147	1456	8385
148	1466	8377
149	1477	8372
150	1487	8362
151	1497	8353
152	1507	8344
153	1519	8347
154	1527	8329
155	1537	8316
156	1546	8301
157	1555	8288
158	1564	8274
159	1574	8264
160	1583	8252
161	1592	8235
162	1600	8220
163	1610	8207
164	1620	8199
165	1629	8186
166	1638	8171
167	1648	8165
168	1657	8148
169	1668	8147
170	1677	8134
171	1687	8123
172	1696	8107
173	1705	8095
174	1715	8088
175	1725	8078
176	1734	8063
177	1743	8052
178	1750	8027
179	1761	8026
180	1771	8015
181	1780	8000
182	1789	7988
183	1798	7974
184	1805	7953
185	1813	7937
186	1822	7924
187	1831	7910
188	1841	7903
189	1851	7892
190	1859	7874
191	1868	7862
192	1877	7849
193	1886	7837
194	1895	7824
195	1904	7811
196	1917	7814
197	1926	7803
