iter	Passed	Remaining
0	14	14308
1	26	13196
2	40	13521
3	50	12481
4	61	12200
5	74	12331
6	86	12234
7	99	12305
8	108	11990
9	119	11803
10	130	11713
11	143	11812
12	157	11950
13	167	11818
14	182	11995
15	200	12336
16	214	12379
17	224	12224
18	234	12093
19	246	12075
20	255	11933
21	264	11760
22	275	11695
23	286	11658
24	297	11602
25	304	11422
26	315	11374
27	324	11273
28	334	11195
29	345	11186
30	355	11097
31	357	10825
32	362	10636
33	374	10642
34	383	10569
35	393	10527
36	404	10524
37	413	10466
38	424	10456
39	435	10450
40	445	10428
41	456	10419
42	467	10402
43	478	10399
44	488	10377
45	497	10325
46	506	10267
47	517	10256
48	527	10244
49	539	10244
50	550	10238
51	559	10202
52	569	10177
53	579	10159
54	589	10133
55	600	10121
56	610	10107
57	619	10053
58	628	10031
59	640	10032
60	650	10019
61	659	9983
62	671	9986
63	682	9982
64	692	9966
65	722	10227
66	733	10210
67	736	10095
68	748	10097
69	759	10090
70	770	10082
71	777	10023
72	788	10009
73	804	10073
74	817	10080
75	828	10070
76	841	10091
77	866	10246
78	879	10258
79	892	10259
80	903	10252
81	914	10236
82	925	10227
83	936	10210
84	947	10197
85	956	10164
86	966	10139
87	979	10148
88	988	10118
89	998	10094
90	1007	10067
91	1016	10037
92	1027	10025
93	1040	10024
94	1050	10006
95	1060	9982
96	1069	9960
97	1081	9950
98	1090	9924
99	1100	9900
100	1109	9878
101	1120	9868
102	1130	9846
103	1142	9839
104	1151	9811
105	1161	9797
106	1175	9806
107	1200	9911
108	1248	10202
109	1282	10376
110	1302	10430
111	1311	10397
112	1322	10379
113	1333	10361
114	1344	10344
115	1354	10319
116	1365	10305
117	1376	10285
118	1388	10283
119	1400	10270
120	1411	10255
121	1421	10231
122	1432	10216
123	1443	10195
124	1453	10176
125	1463	10154
126	1475	10141
127	1486	10127
128	1498	10115
129	1509	10101
130	1520	10087
131	1532	10075
132	1542	10055
133	1553	10036
134	1562	10014
135	1573	9994
136	1584	9979
137	1595	9966
138	1603	9934
139	1614	9915
140	1624	9898
141	1639	9905
142	1651	9895
143	1661	9877
144	1674	9871
145	1720	10060
146	1730	10040
147	1743	10035
148	1767	10093
149	1783	10103
150	1798	10111
151	1812	10111
152	1825	10103
153	1839	10107
154	1865	10171
155	1879	10169
156	1893	10168
157	1904	10147
158	1916	10135
159	1928	10122
160	1938	10103
161	1949	10085
162	1961	10069
163	1970	10047
164	1982	10031
165	1991	10007
166	2001	9983
167	2009	9949
168	2018	9927
169	2028	9905
170	2038	9880
171	2046	9852
172	2055	9824
173	2064	9799
174	2073	9773
175	2082	9750
176	2092	9731
177	2099	9694
178	2110	9681
179	2120	9660
180	2130	9639
181	2140	9620
182	2150	9603
183	2169	9623
184	2187	9637
185	2201	9632
186	2212	9620
187	2225	9613
188	2237	9599
189	2247	9579
190	2259	9569
191	2270	9553
192	2282	9542
193	2292	9526
194	2304	9511
195	2315	9497
196	2327	9486
197	2338	9471
198	2348	9452
199	2359	9436
200	2370	9424
201	2381	9408
202	2393	9398
203	2405	9386
204	2415	9366
205	2425	9349
206	2435	9329
207	2445	9313
208	2454	9291
209	2466	9278
210	2475	9256
211	2484	9236
212	2496	9223
213	2506	9206
214	2517	9192
215	2529	9179
216	2538	9161
217	2549	9145
218	2558	9125
219	2562	9084
220	2576	9082
221	2590	9077
222	2600	9060
223	2609	9040
224	2621	9028
225	2631	9010
226	2639	8989
227	2649	8970
228	2662	8963
229	2674	8953
230	2686	8944
231	2700	8939
232	2710	8921
233	2720	8905
234	2737	8912
235	2750	8902
236	2761	8889
237	2772	8877
238	2785	8870
239	2795	8853
240	2806	8839
241	2819	8829
242	2831	8820
243	2842	8807
244	2852	8790
245	2863	8777
246	2874	8762
247	2886	8752
248	2897	8738
249	2907	8723
250	2916	8704
251	2927	8690
252	2938	8676
253	2949	8663
254	2959	8646
255	2971	8634
256	2986	8634
257	2998	8622
258	3008	8608
259	3022	8601
260	3032	8587
261	3043	8573
262	3054	8558
263	3066	8548
264	3077	8536
265	3097	8546
266	3108	8533
267	3119	8519
268	3128	8500
269	3138	8485
270	3148	8470
271	3160	8458
272	3202	8528
273	3219	8531
274	3233	8523
275	3244	8510
276	3255	8497
277	3261	8470
278	3284	8488
279	3293	8469
280	3303	8453
281	3314	8439
282	3325	8425
283	3336	8412
284	3347	8398
285	3357	8382
286	3369	8369
287	3377	8350
288	3381	8317
289	3392	8305
290	3404	8294
291	3416	8283
292	3429	8275
293	3441	8263
294	3452	8250
295	3463	8236
296	3472	8219
297	3483	8205
298	3493	8190
299	3505	8178
300	3527	8192
301	3537	8175
302	3549	8164
303	3561	8153
304	3573	8143
305	3586	8133
306	3597	8119
307	3608	8107
308	3619	8093
309	3630	8081
310	3643	8071
311	3655	8060
312	3667	8049
313	3678	8036
314	3689	8023
315	3701	8011
316	3712	7998
317	3722	7984
318	3734	7972
319	3745	7958
320	3757	7947
321	3768	7935
322	3781	7925
323	3791	7910
324	3802	7898
325	3814	7885
326	3825	7873
327	3839	7865
328	3863	7878
329	3875	7869
330	3888	7859
331	3901	7849
332	3912	7837
333	3923	7824
334	3928	7798
335	3947	7800
336	3959	7790
337	3972	7780
338	3985	7770
339	3995	7756
340	4008	7745
341	4018	7731
342	4029	7718
343	4042	7708
344	4063	7715
345	4075	7703
346	4088	7694
347	4097	7676
348	4108	7663
349	4116	7645
350	4127	7630
351	4132	7606
352	4143	7593
353	4154	7580
354	4163	7565
355	4170	7544
356	4181	7530
357	4190	7515
358	4199	7498
359	4203	7473
360	4213	7458
361	4226	7448
362	4236	7433
363	4246	7420
364	4256	7405
365	4267	7391
366	4278	7380
367	4289	7365
368	4301	7354
369	4311	7341
370	4321	7327
371	4332	7313
372	4334	7286
