iter	Passed	Remaining
0	8	8820
1	23	11785
2	33	11031
3	43	10917
4	65	13087
5	76	12648
6	88	12595
7	100	12518
8	112	12408
9	123	12230
10	139	12530
11	147	12168
12	158	12007
13	169	11906
14	179	11809
15	188	11612
16	197	11436
17	212	11580
18	230	11911
19	243	11922
20	257	12009
21	284	12651
22	311	13251
23	323	13153
24	336	13108
25	342	12846
26	353	12742
27	363	12620
28	375	12558
29	386	12485
30	394	12333
31	397	12031
32	402	11804
33	413	11757
34	425	11723
35	434	11644
36	459	11950
37	471	11925
38	481	11869
39	490	11764
40	500	11713
41	513	11719
42	526	11719
43	538	11705
44	551	11706
45	561	11651
46	571	11586
47	581	11533
48	591	11477
49	603	11466
50	613	11424
51	622	11346
52	633	11316
53	643	11281
54	652	11218
55	662	11174
56	673	11148
57	684	11111
58	695	11089
59	706	11063
60	716	11035
61	726	10989
62	736	10954
63	746	10914
64	755	10872
65	765	10832
66	775	10801
67	778	10674
68	789	10647
69	799	10623
70	809	10595
71	816	10526
72	828	10518
73	841	10530
74	853	10526
75	862	10484
76	871	10449
77	881	10425
78	892	10407
79	902	10375
80	912	10358
81	922	10326
82	932	10305
83	941	10270
84	952	10258
85	962	10232
86	982	10306
87	991	10278
88	1002	10256
89	1012	10238
90	1023	10219
91	1033	10197
92	1041	10160
93	1051	10138
94	1064	10137
95	1076	10138
96	1086	10115
97	1099	10118
98	1108	10085
99	1117	10056
100	1127	10034
101	1137	10018
102	1148	10005
103	1166	10053
104	1174	10011
105	1184	9990
106	1193	9962
107	1203	9941
108	1213	9916
109	1222	9888
110	1238	9916
111	1247	9891
112	1258	9878
113	1269	9868
114	1293	9951
115	1305	9950
116	1335	10077
117	1368	10232
118	1383	10245
119	1404	10298
120	1414	10276
121	1427	10275
122	1440	10270
123	1451	10253
124	1461	10230
125	1472	10211
126	1483	10195
127	1493	10173
128	1503	10154
129	1515	10139
130	1531	10159
131	1541	10135
132	1550	10107
133	1560	10084
134	1572	10072
135	1582	10053
136	1593	10035
137	1604	10023
138	1615	10004
139	1624	9977
140	1633	9951
141	1645	9940
142	1656	9925
143	1666	9906
144	1677	9893
145	1687	9870
146	1698	9853
147	1710	9847
148	1721	9834
149	1731	9813
150	1741	9788
151	1751	9773
152	1763	9765
153	1774	9748
154	1795	9788
155	1806	9771
156	1818	9764
157	1833	9772
158	1845	9762
159	1856	9748
160	1869	9741
161	1882	9738
162	1900	9758
163	1911	9743
164	1921	9723
165	1932	9709
166	1942	9687
167	1954	9677
168	1965	9665
169	1976	9647
170	1987	9634
171	2005	9652
172	2015	9635
173	2026	9618
174	2041	9626
175	2060	9644
176	2071	9630
177	2083	9622
178	2097	9619
179	2107	9603
180	2117	9579
181	2129	9571
182	2139	9549
183	2147	9521
184	2155	9496
185	2167	9484
186	2177	9466
187	2188	9452
188	2199	9436
189	2210	9424
190	2222	9412
191	2232	9396
192	2243	9382
193	2255	9371
194	2265	9354
195	2277	9344
196	2288	9327
197	2298	9311
198	2308	9291
199	2320	9280
200	2330	9265
201	2341	9249
202	2352	9234
203	2362	9217
204	2373	9206
205	2385	9192
206	2396	9181
207	2412	9187
208	2423	9172
209	2435	9160
210	2445	9145
211	2460	9145
212	2471	9133
213	2483	9120
214	2493	9104
215	2504	9091
216	2515	9075
217	2527	9065
218	2539	9054
219	2543	9017
220	2560	9024
221	2572	9013
222	2592	9034
223	2601	9013
224	2615	9009
225	2624	8987
226	2634	8971
227	2643	8950
228	2654	8936
229	2666	8926
230	2677	8913
231	2689	8902
232	2700	8889
233	2711	8877
234	2722	8863
235	2734	8850
236	2744	8835
237	2756	8825
238	2768	8815
239	2778	8799
240	2789	8785
241	2799	8769
242	2809	8753
243	2819	8736
244	2828	8716
245	2837	8697
246	2847	8680
247	2857	8665
