iter	MultiClass
0	1.027854021
1	0.9750143206
2	0.9306670194
3	0.8930918569
4	0.8594393734
5	0.8310163396
6	0.8050506723
7	0.7839944237
8	0.7658718613
9	0.7496495642
10	0.7351999039
11	0.7233117349
12	0.7130749564
13	0.7035386086
14	0.6956032516
15	0.6878253544
16	0.6814857179
17	0.6756412627
18	0.6690022781
19	0.6635381191
20	0.6584155152
21	0.651649607
22	0.6464686132
23	0.6428784105
24	0.6379593642
25	0.6355140709
26	0.6317728147
27	0.6288442064
28	0.6264018435
29	0.6237503424
30	0.6203922739
31	0.6176072647
32	0.6147616125
33	0.6114906516
34	0.611162457
35	0.6093185568
36	0.6064272577
37	0.6038905867
38	0.6031893425
39	0.6007260039
40	0.5982256367
41	0.5981845056
42	0.5961058183
43	0.5943095849
44	0.5923752838
45	0.5902420686
46	0.5886247455
47	0.5859160089
48	0.583992835
49	0.5828161459
50	0.581076257
51	0.5790589824
52	0.5771022116
53	0.5755997657
54	0.5742531963
55	0.573109302
56	0.5717685284
57	0.5705226627
58	0.5689101346
59	0.5677438048
60	0.5658787248
61	0.5649672388
62	0.5637613075
63	0.5625564636
64	0.5612865206
65	0.5603313081
66	0.5588280559
67	0.558220855
68	0.5565127137
69	0.5563541148
70	0.5556756839
71	0.554037659
72	0.5528289224
73	0.5519858707
74	0.5508818188
75	0.5501583317
76	0.5494818457
77	0.5480158304
78	0.5471514751
79	0.5461663083
80	0.5452583696
81	0.5441347925
82	0.5430724306
83	0.5418305748
84	0.5409750328
85	0.5402662747
86	0.5394804167
87	0.5385601553
88	0.5378087921
89	0.5372259189
90	0.5364263061
91	0.5356458565
92	0.5350991631
93	0.5342410117
94	0.5333780141
95	0.5326473529
96	0.5318390809
97	0.5310160601
98	0.5303160652
99	0.5291521069
100	0.5282865685
101	0.5275425981
102	0.5267822157
103	0.5260215437
104	0.5248529523
105	0.52411742
106	0.5236352977
107	0.5234067796
108	0.5220973555
109	0.5213087896
110	0.5205544129
111	0.5196418359
112	0.5183764499
113	0.5180066335
114	0.5179924153
115	0.5173324263
116	0.5164250311
117	0.5157077282
118	0.5151521197
119	0.514480988
120	0.5137333534
121	0.5131647653
122	0.5127278993
123	0.5119024429
124	0.5112822449
125	0.5104586776
126	0.5097981487
127	0.5089135911
128	0.5083784714
129	0.5077179163
130	0.5071634735
131	0.5065495607
132	0.5062739509
133	0.5058706392
134	0.5054709957
135	0.5050845309
136	0.5046208064
137	0.5039066486
138	0.5033323735
139	0.5027318779
140	0.5020066916
141	0.5014574994
142	0.5008809899
143	0.5001867091
144	0.4996867846
145	0.4991239857
146	0.4986277536
147	0.4982096603
148	0.4976838765
149	0.4970907518
150	0.4965505488
151	0.4965505037
152	0.496137262
153	0.4958528604
154	0.4953375977
155	0.4946927676
