iter	Passed	Remaining
0	9	9877
1	19	9819
2	27	9200
3	36	9161
4	46	9339
5	55	9244
6	65	9326
7	73	9111
8	84	9309
9	94	9320
10	104	9378
11	113	9323
12	121	9234
13	129	9104
14	138	9092
15	145	8962
16	153	8903
17	160	8747
18	168	8690
19	176	8647
20	185	8636
21	195	8675
22	202	8588
23	217	8840
24	226	8835
25	232	8714
26	242	8753
27	251	8724
28	256	8578
29	266	8601
30	274	8570
31	281	8502
32	288	8453
33	297	8457
34	302	8346
35	306	8214
36	314	8178
37	322	8173
38	331	8158
39	338	8115
40	348	8143
41	351	8015
42	361	8038
43	369	8029
44	377	8018
45	388	8047
46	395	8020
47	404	8018
48	415	8064
49	424	8067
50	434	8083
51	442	8070
52	453	8097
53	464	8132
54	474	8144
55	486	8209
56	495	8196
57	504	8188
58	512	8173
59	519	8142
60	527	8122
61	535	8101
62	546	8130
63	555	8129
64	566	8154
65	575	8145
66	584	8137
67	592	8118
68	600	8108
69	604	8033
70	613	8026
71	620	7999
72	636	8084
73	671	8406
74	678	8366
75	687	8355
76	695	8337
77	702	8309
78	711	8295
79	721	8293
80	728	8268
81	736	8242
82	743	8217
83	751	8197
84	760	8182
85	769	8177
86	777	8162
87	787	8158
88	796	8156
89	805	8143
90	814	8134
91	823	8124
92	831	8111
93	841	8107
94	849	8094
95	858	8087
96	868	8081
97	877	8073
98	885	8060
99	894	8052
100	903	8038
101	911	8023
102	920	8016
103	928	8003
104	938	7999
105	947	7994
106	955	7974
107	960	7930
108	968	7917
109	977	7910
110	986	7899
111	996	7903
112	1004	7885
113	1013	7874
114	1015	7816
115	1023	7798
116	1031	7781
117	1039	7767
118	1048	7763
119	1061	7781
120	1071	7780
121	1082	7792
122	1091	7779
123	1100	7777
124	1109	7765
125	1118	7757
126	1127	7749
127	1141	7773
128	1150	7767
129	1160	7764
130	1168	7753
131	1176	7737
132	1185	7727
133	1194	7720
134	1226	7859
135	1234	7844
136	1242	7827
137	1253	7832
138	1263	7826
139	1273	7822
140	1282	7812
141	1292	7811
142	1301	7801
143	1310	7792
144	1319	7781
145	1329	7779
146	1341	7781
147	1353	7791
148	1372	7841
149	1384	7844
150	1394	7838
151	1395	7787
152	1415	7835
153	1424	7822
154	1432	7811
155	1442	7805
156	1460	7844
157	1471	7840
158	1479	7826
159	1489	7818
160	1497	7803
161	1505	7789
162	1514	7779
163	1523	7767
164	1539	7789
165	1552	7798
166	1561	7790
167	1570	7777
168	1579	7765
169	1588	7758
170	1602	7770
171	1613	7768
172	1621	7751
173	1631	7746
174	1642	7745
175	1651	7733
176	1661	7724
177	1715	7920
178	1736	7966
179	1768	8055
180	1790	8103
181	1814	8156
182	1829	8165
183	1837	8147
184	1846	8135
185	1855	8119
186	1864	8105
187	1871	8084
188	1882	8077
189	1889	8057
190	1900	8047
191	1909	8033
192	1917	8016
193	1925	7999
194	1931	7975
195	1942	7966
196	1948	7942
197	1957	7927
198	1966	7917
199	1976	7906
200	1982	7881
201	1991	7869
202	1999	7851
203	2008	7837
204	2016	7819
205	2026	7810
206	2036	7800
207	2044	7785
208	2053	7770
209	2061	7755
210	2070	7743
211	2079	7730
212	2088	7717
213	2096	7700
214	2107	7695
215	2117	7685
216	2129	7685
217	2141	7681
218	2150	7670
219	2161	7662
220	2169	7648
221	2178	7633
222	2186	7619
223	2195	7606
224	2204	7592
225	2214	7584
226	2226	7583
227	2236	7573
228	2244	7557
229	2252	7540
230	2260	7524
231	2270	7514
232	2287	7530
233	2296	7518
234	2306	7507
235	2316	7498
236	2326	7489
237	2334	7474
238	2342	7459
239	2352	7450
240	2361	7438
241	2370	7425
242	2380	7416
243	2388	7400
244	2398	7390
245	2408	7382
246	2416	7367
247	2425	7353
248	2435	7346
249	2440	7321
250	2448	7305
251	2456	7292
252	2465	7278
253	2475	7270
254	2484	7258
255	2493	7246
256	2503	7237
257	2513	7229
258	2523	7219
259	2529	7200
260	2538	7187
261	2550	7184
262	2561	7177
263	2569	7164
264	2578	7153
265	2586	7137
266	2595	7125
267	2603	7109
268	2612	7100
269	2621	7087
270	2628	7070
271	2634	7050
272	2643	7039
273	2652	7027
274	2660	7013
275	2671	7008
276	2683	7003
277	2691	6988
278	2700	6979
279	2709	6967
280	2721	6962
281	2730	6951
282	2739	6940
283	2748	6928
284	2758	6919
285	2768	6911
286	2776	6896
287	2785	6886
288	2795	6878
289	2804	6866
290	2813	6854
291	2820	6839
292	2830	6830
293	2840	6820
294	2849	6810
295	2861	6806
296	2872	6798
297	2880	6786
298	2890	6776
299	2899	6765
300	2907	6753
301	2916	6740
302	2924	6726
303	2932	6713
304	2941	6702
305	2950	6691
306	2958	6678
307	2965	6663
308	2968	6638
309	2977	6627
310	2986	6615
311	2994	6603
312	3002	6590
313	3011	6579
314	3020	6568
315	3023	6545
316	3031	6532
317	3041	6522
318	3044	6499
319	3052	6486
320	3061	6476
321	3069	6463
322	3079	6454
323	3088	6444
324	3092	6423
325	3100	6410
326	3108	6396
327	3115	6382
328	3122	6367
329	3130	6356
330	3139	6345
331	3148	6335
332	3159	6327
333	3167	6316
334	3176	6306
335	3185	6294
336	3194	6284
337	3201	6271
338	3210	6259
339	3217	6246
340	3227	6237
341	3235	6225
342	3244	6214
343	3252	6202
344	3261	6191
345	3269	6180
346	3278	6169
347	3287	6160
348	3295	6147
349	3306	6141
350	3315	6130
351	3323	6117
352	3331	6107
353	3341	6096
354	3349	6085
355	3357	6073
356	3366	6063
357	3374	6051
358	3383	6042
359	3391	6029
360	3401	6020
361	3410	6010
362	3417	5997
363	3426	5986
364	3435	5977
365	3444	5967
366	3453	5956
367	3462	5946
368	3472	5937
369	3480	5926
370	3489	5916
371	3498	5906
372	3508	5896
373	3516	5886
374	3524	5874
375	3532	5862
376	3541	5851
377	3549	5840
378	3558	5830
379	3568	5822
380	3576	5811
381	3585	5801
382	3593	5789
383	3601	5778
384	3610	5767
385	3619	5756
386	3627	5745
387	3635	5734
388	3639	5715
389	3646	5704
390	3655	5693
391	3664	5682
392	3668	5666
393	3676	5654
394	3684	5643
395	3694	5634
396	3703	5624
397	3710	5612
398	3718	5600
399	3727	5591
400	3736	5581
401	3744	5569
402	3751	5557
403	3762	5550
404	3769	5537
405	3778	5527
406	3788	5519
407	3795	5507
408	3803	5496
409	3812	5486
410	3820	5475
411	3829	5465
412	3838	5455
413	3847	5445
414	3856	5436
415	3865	5426
416	3873	5416
417	3880	5403
418	3891	5396
419	3896	5380
420	3906	5372
421	3916	5363
422	3923	5352
423	3931	5341
424	3939	5330
425	3948	5320
426	3957	5310
427	3966	5300
428	3974	5289
429	3982	5279
430	3990	5267
431	3999	5258
432	4008	5249
433	4019	5242
434	4028	5232
435	4036	5220
436	4044	5211
437	4054	5201
438	4063	5192
439	4070	5181
440	4078	5169
441	4086	5159
442	4093	5147
443	4096	5129
444	4105	5120
445	4114	5110
446	4123	5100
447	4131	5090
448	4140	5081
449	4148	5070
450	4157	5061
451	4165	5050
452	4173	5039
453	4182	5029
454	4191	5020
455	4200	5011
456	4208	5000
457	4216	4990
458	4225	4979
459	4233	4970
460	4242	4960
461	4250	4949
462	4259	4939
463	4267	4930
464	4288	4933
465	4310	4939
466	4316	4926
467	4324	4915
468	4331	4904
469	4341	4895
470	4349	4885
471	4355	4872
472	4364	4862
473	4371	4851
474	4379	4841
475	4388	4830
476	4396	4820
477	4406	4812
478	4415	4802
479	4430	4799
480	4435	4786
481	4443	4775
482	4453	4767
483	4462	4757
484	4466	4742
485	4481	4739
486	4489	4728
487	4496	4717
488	4504	4707
489	4514	4698
490	4522	4688
491	4531	4678
492	4544	4673
493	4553	4663
494	4562	4654
495	4570	4644
496	4577	4632
497	4585	4622
498	4594	4612
499	4602	4602
500	4610	4591
501	4618	4581
502	4626	4571
503	4635	4562
504	4643	4551
505	4652	4542
506	4660	4531
507	4670	4523
508	4679	4513
509	4687	4503
510	4697	4495
511	4705	4485
512	4711	4472
513	4721	4464
514	4730	4455
515	4739	4446
516	4748	4435
517	4757	4426
518	4766	4417
519	4775	4408
520	4785	4399
521	4793	4389
522	4803	4380
523	4812	4371
524	4822	4362
525	4828	4351
526	4836	4341
527	4844	4330
528	4854	4321
529	4863	4312
530	4872	4303
531	4881	4293
532	4889	4284
533	4898	4274
534	4908	4266
535	4917	4257
536	4927	4248
537	4935	4238
538	4938	4224
539	4949	4216
540	4956	4205
541	4963	4194
542	4972	4184
543	4982	4176
544	4992	4167
545	5001	4158
546	5010	4149
547	5019	4140
548	5027	4130
549	5035	4119
550	5045	4111
551	5054	4102
552	5063	4092
553	5070	4082
554	5079	4072
555	5087	4062
556	5098	4054
557	5107	4045
558	5116	4036
559	5126	4027
560	5135	4019
561	5137	4004
562	5147	3995
563	5157	3987
564	5165	3976
565	5174	3967
566	5183	3958
567	5193	3949
568	5202	3940
569	5211	3931
570	5221	3922
571	5230	3913
572	5239	3904
573	5248	3895
574	5255	3884
575	5264	3875
576	5274	3866
577	5282	3856
578	5292	3847
579	5301	3838
580	5309	3828
581	5319	3820
582	5327	3810
583	5337	3801
584	5346	3792
585	5356	3784
586	5360	3771
587	5368	3761
588	5377	3752
589	5385	3742
590	5395	3733
591	5404	3724
592	5413	3715
593	5420	3705
594	5429	3696
595	5439	3687
596	5449	3678
597	5458	3669
598	5466	3659
599	5475	3650
600	5483	3640
601	5492	3631
602	5501	3622
603	5504	3608
604	5513	3599
605	5520	3589
606	5522	3575
607	5531	3566
608	5538	3555
609	5546	3545
610	5554	3536
611	5562	3526
612	5571	3517
613	5578	3506
614	5586	3497
615	5595	3487
616	5602	3477
617	5609	3467
618	5619	3458
619	5638	3456
620	5649	3447
621	5658	3438
622	5667	3429
623	5675	3419
624	5684	3410
625	5693	3401
626	5700	3391
627	5709	3381
628	5718	3372
629	5726	3363
630	5733	3352
631	5741	3343
632	5749	3333
633	5755	3322
634	5763	3312
635	5772	3303
636	5782	3295
637	5793	3286
638	5803	3278
639	5811	3268
640	5819	3259
641	5829	3250
642	5839	3242
643	5847	3232
644	5857	3223
645	5866	3214
646	5875	3205
647	5885	3196
648	5895	3188
649	5907	3181
650	5917	3172
651	5928	3164
652	5938	3155
653	5947	3146
654	5956	3137
655	5964	3127
656	5974	3118
657	5982	3109
658	5991	3100
659	5998	3090
660	6007	3080
661	6013	3070
662	6021	3060
663	6030	3051
664	6038	3041
665	6046	3032
666	6056	3023
667	6065	3014
668	6074	3005
669	6082	2995
670	6091	2986
671	6099	2977
672	6108	2968
673	6116	2958
674	6124	2949
675	6133	2939
676	6142	2930
677	6151	2921
678	6158	2911
679	6165	2901
680	6174	2892
681	6182	2882
682	6191	2873
683	6200	2864
684	6204	2853
685	6213	2844
686	6223	2835
687	6231	2826
688	6241	2817
689	6250	2808
690	6257	2798
691	6266	2789
692	6275	2779
693	6285	2771
694	6295	2762
695	6311	2756
696	6322	2748
697	6330	2739
698	6340	2730
699	6350	2721
700	6360	2713
701	6371	2704
702	6379	2695
703	6389	2686
704	6397	2677
705	6408	2668
706	6421	2661
